"","GSM6205132","GSM6205136","GSM6205138","GSM6205140","GSM6205142","GSM6205144"
"CD8+_T_GZMKhi_UBE2E3",8.97742789618303,9.06308102018847,9.12347717126359,9.10619501666972,9.16692478647003,9.30688155278152
"CD8+_T_GZMKhi_CRIP1",9.1960997707699,9.52950476196865,9.37239777613939,9.10619501666972,9.03803703993291,9.19553949139826
"CD8+_T_GZMKhi_TPRG1",8.97742789618303,9.00966141296614,9.00408978783306,8.89649494137413,9.03803703993291,8.89649494137413
"CD8+_T_GZMKhi_PRDM1",9.05406079648209,9.03661845276974,9.02879625714568,8.89649494137413,9.03803703993291,8.94320138488483
"CD8+_T_naive_ARPC2",9.28950429589817,9.13856796332864,9.22763391033034,9.32276198263172,9.39678773375133,9.34750776830269
"CD8+_T_naive_NOSIP",9.23853107398718,9.3680005921209,9.33963185315284,9.03256764757615,9.35508625528064,9.11477517964826
"CD8+_T_naive_CD7",9.03252715908798,9.17999804635184,9.22428462240381,9.20247755043188,9.22222112814999,9.41542010178208
"CD8+_T_naive_RPL35A",12.5869141678665,12.5265390922114,12.6823049337422,12.6605285754597,13.024925413169,12.7719173324608
"CD8+_T_naive_EVL",9.39102216867644,9.1628797652135,9.11765256021948,9.15645301286676,9.15089942942975,8.87271422733625
"CD8+_T_naive_TSHZ2",8.17521247278592,8.19319539273073,8.19380169237673,8.13117751227572,8.17976375389066,8.20281076453753
"CD8+_T_naive_MYL6",9.31924572269315,9.25622694303708,9.29816855452479,9.41886665734376,9.33913194046006,9.43934382572424
"CD8+_T_naive_SEC62",8.91408464201989,8.90733094567308,8.94455417074963,8.905623295861,9.08864711921196,8.85503621314091
"CD8+_T_naive_GZMM",8.71963760801212,8.67109616058686,8.68446141185822,8.76642152424615,8.71290304336501,8.7150588149044
"CD8+_T_naive_FCER1G",8.57920232559817,8.50714895934402,8.51447932298733,8.4279406907434,8.50935121518471,8.52691544456482
"CD8+_T_naive_UQCRB",9.89426362038473,10.1369987557419,10.2015733335745,10.0266070306673,10.4101227958284,10.0952529235333
